267849_ONT_clinker vs 315176_ONT_clinker
----------------------------------------
Query              Target             Identity  Similarity
FGXLORGX_CDS_0037  DTEQPQRT_CDS_0070  0.99      0.99      
FGXLORGX_CDS_0038  DTEQPQRT_CDS_0071  0.99      0.99      
FGXLORGX_CDS_0039  DTEQPQRT_CDS_0072  1.00      1.00      
FGXLORGX_CDS_0040  DTEQPQRT_CDS_0073  0.57      0.61      
FGXLORGX_CDS_0042  DTEQPQRT_CDS_0077  0.49      0.61      
FGXLORGX_CDS_0044  DTEQPQRT_CDS_0078  0.31      0.50      
FGXLORGX_CDS_0045  DTEQPQRT_CDS_0079  0.93      0.99      
FGXLORGX_CDS_0046  DTEQPQRT_CDS_0080  0.99      0.99      
FGXLORGX_CDS_0047  DTEQPQRT_CDS_0081  0.98      0.98      
FGXLORGX_CDS_0048  DTEQPQRT_CDS_0082  0.91      0.94      
FGXLORGX_CDS_0049  DTEQPQRT_CDS_0085  0.40      0.40      
FGXLORGX_CDS_0054  DTEQPQRT_CDS_0092  0.99      1.00      
FGXLORGX_CDS_0055  DTEQPQRT_CDS_0093  1.00      1.00      
FGXLORGX_CDS_0063  DTEQPQRT_CDS_0109  0.38      0.56      
FGXLORGX_CDS_0068  DTEQPQRT_CDS_0099  0.34      0.46      

267849_ONT_clinker vs E116508_phage_clinker
-------------------------------------------
Query              Target             Identity  Similarity
FGXLORGX_CDS_0002  JQRBSOPY_CDS_0007  0.55      0.65      
FGXLORGX_CDS_0007  JQRBSOPY_CDS_0015  0.96      0.96      
FGXLORGX_CDS_0008  JQRBSOPY_CDS_0016  0.54      0.58      
FGXLORGX_CDS_0009  JQRBSOPY_CDS_0019  0.99      1.00      
FGXLORGX_CDS_0010  JQRBSOPY_CDS_0020  0.77      0.84      
FGXLORGX_CDS_0013  JQRBSOPY_CDS_0023  0.44      0.45      
FGXLORGX_CDS_0015  JQRBSOPY_CDS_0024  0.94      0.98      
FGXLORGX_CDS_0016  JQRBSOPY_CDS_0025  0.85      0.86      
FGXLORGX_CDS_0017  JQRBSOPY_CDS_0028  0.36      0.36      
FGXLORGX_CDS_0018  JQRBSOPY_CDS_0030  0.62      0.62      
FGXLORGX_CDS_0020  JQRBSOPY_CDS_0034  0.98      0.99      
FGXLORGX_CDS_0021  JQRBSOPY_CDS_0035  0.66      0.68      
FGXLORGX_CDS_0022  JQRBSOPY_CDS_0037  0.59      0.64      
FGXLORGX_CDS_0023  JQRBSOPY_CDS_0038  0.44      0.49      
FGXLORGX_CDS_0024  JQRBSOPY_CDS_0039  0.99      0.99      
FGXLORGX_CDS_0025  JQRBSOPY_CDS_0040  0.39      0.39      
FGXLORGX_CDS_0026  JQRBSOPY_CDS_0040  0.42      0.43      
FGXLORGX_CDS_0027  JQRBSOPY_CDS_0041  1.00      1.00      
FGXLORGX_CDS_0028  JQRBSOPY_CDS_0042  0.98      1.00      
FGXLORGX_CDS_0029  JQRBSOPY_CDS_0043  0.47      0.49      
FGXLORGX_CDS_0030  JQRBSOPY_CDS_0043  0.42      0.43      
FGXLORGX_CDS_0031  JQRBSOPY_CDS_0045  0.96      0.97      
FGXLORGX_CDS_0032  JQRBSOPY_CDS_0046  0.37      0.38      
FGXLORGX_CDS_0032  JQRBSOPY_CDS_0047  0.58      0.59      
FGXLORGX_CDS_0033  JQRBSOPY_CDS_0049  0.83      0.85      
FGXLORGX_CDS_0038  JQRBSOPY_CDS_0056  1.00      1.00      
FGXLORGX_CDS_0039  JQRBSOPY_CDS_0057  1.00      1.00      
FGXLORGX_CDS_0040  JQRBSOPY_CDS_0058  0.57      0.61      
FGXLORGX_CDS_0042  JQRBSOPY_CDS_0062  0.49      0.61      
FGXLORGX_CDS_0044  JQRBSOPY_CDS_0063  0.31      0.50      
FGXLORGX_CDS_0045  JQRBSOPY_CDS_0064  0.93      0.99      
FGXLORGX_CDS_0046  JQRBSOPY_CDS_0065  0.86      0.86      
FGXLORGX_CDS_0047  JQRBSOPY_CDS_0066  0.98      0.98      
FGXLORGX_CDS_0048  JQRBSOPY_CDS_0067  0.91      0.94      
FGXLORGX_CDS_0049  JQRBSOPY_CDS_0068  0.35      0.35      
FGXLORGX_CDS_0049  JQRBSOPY_CDS_0069  0.67      0.68      
FGXLORGX_CDS_0050  JQRBSOPY_CDS_0070  0.73      0.76      
FGXLORGX_CDS_0054  JQRBSOPY_CDS_0073  0.98      0.99      
FGXLORGX_CDS_0055  JQRBSOPY_CDS_0074  0.99      1.00      
FGXLORGX_CDS_0063  JQRBSOPY_CDS_0089  0.38      0.56      
FGXLORGX_CDS_0068  JQRBSOPY_CDS_0079  0.34      0.44      

267849_ONT_clinker vs E30228_ONT_clinker
----------------------------------------
Query              Target             Identity  Similarity
FGXLORGX_CDS_0007  TONGNFWS_CDS_0025  0.77      0.79      
FGXLORGX_CDS_0008  TONGNFWS_CDS_0026  0.39      0.46      
FGXLORGX_CDS_0009  TONGNFWS_CDS_0017  0.32      0.49      
FGXLORGX_CDS_0042  TONGNFWS_CDS_0040  0.84      0.87      
FGXLORGX_CDS_0044  TONGNFWS_CDS_0044  0.66      0.72      
FGXLORGX_CDS_0045  TONGNFWS_CDS_0045  0.99      1.00      
FGXLORGX_CDS_0046  TONGNFWS_CDS_0046  0.98      0.99      
FGXLORGX_CDS_0047  TONGNFWS_CDS_0047  0.98      0.98      
FGXLORGX_CDS_0048  TONGNFWS_CDS_0048  0.76      0.76      
FGXLORGX_CDS_0049  TONGNFWS_CDS_0050  0.68      0.72      
FGXLORGX_CDS_0053  TONGNFWS_CDS_0053  0.82      0.82      
FGXLORGX_CDS_0054  TONGNFWS_CDS_0054  0.99      1.00      
FGXLORGX_CDS_0055  TONGNFWS_CDS_0055  1.00      1.00      
FGXLORGX_CDS_0060  TONGNFWS_CDS_0058  0.42      0.55      
FGXLORGX_CDS_0068  TONGNFWS_CDS_0061  0.34      0.46      
FGXLORGX_CDS_0082  TONGNFWS_CDS_0104  0.36      0.46      
FGXLORGX_CDS_0083  TONGNFWS_CDS_0105  0.66      0.77      

315176_ONT_clinker vs E116508_phage_clinker
-------------------------------------------
Query              Target             Identity  Similarity
DTEQPQRT_CDS_0007  JQRBSOPY_CDS_0001  1.00      1.00      
DTEQPQRT_CDS_0008  JQRBSOPY_CDS_0002  1.00      1.00      
DTEQPQRT_CDS_0009  JQRBSOPY_CDS_0003  1.00      1.00      
DTEQPQRT_CDS_0010  JQRBSOPY_CDS_0004  1.00      1.00      
DTEQPQRT_CDS_0011  JQRBSOPY_CDS_0005  1.00      1.00      
DTEQPQRT_CDS_0012  JQRBSOPY_CDS_0006  1.00      1.00      
DTEQPQRT_CDS_0013  JQRBSOPY_CDS_0007  1.00      1.00      
DTEQPQRT_CDS_0014  JQRBSOPY_CDS_0008  1.00      1.00      
DTEQPQRT_CDS_0015  JQRBSOPY_CDS_0009  0.69      0.69      
DTEQPQRT_CDS_0016  JQRBSOPY_CDS_0010  0.51      0.52      
DTEQPQRT_CDS_0016  JQRBSOPY_CDS_0011  0.41      0.42      
DTEQPQRT_CDS_0017  JQRBSOPY_CDS_0012  1.00      1.00      
DTEQPQRT_CDS_0018  JQRBSOPY_CDS_0013  1.00      1.00      
DTEQPQRT_CDS_0019  JQRBSOPY_CDS_0014  1.00      1.00      
DTEQPQRT_CDS_0019  JQRBSOPY_CDS_0036  0.31      0.33      
DTEQPQRT_CDS_0020  JQRBSOPY_CDS_0015  0.95      0.95      
DTEQPQRT_CDS_0021  JQRBSOPY_CDS_0016  0.56      0.59      
DTEQPQRT_CDS_0022  JQRBSOPY_CDS_0019  1.00      1.00      
DTEQPQRT_CDS_0024  JQRBSOPY_CDS_0020  0.48      0.50      
DTEQPQRT_CDS_0027  JQRBSOPY_CDS_0021  1.00      1.00      
DTEQPQRT_CDS_0028  JQRBSOPY_CDS_0022  0.97      0.97      
DTEQPQRT_CDS_0029  JQRBSOPY_CDS_0023  0.44      0.44      
DTEQPQRT_CDS_0030  JQRBSOPY_CDS_0023  0.34      0.37      
DTEQPQRT_CDS_0031  JQRBSOPY_CDS_0080  0.35      0.42      
DTEQPQRT_CDS_0035  JQRBSOPY_CDS_0024  0.66      0.67      
DTEQPQRT_CDS_0037  JQRBSOPY_CDS_0025  0.44      0.48      
DTEQPQRT_CDS_0038  JQRBSOPY_CDS_0027  0.31      0.31      
DTEQPQRT_CDS_0038  JQRBSOPY_CDS_0028  0.57      0.59      
DTEQPQRT_CDS_0044  JQRBSOPY_CDS_0032  0.53      0.53      
DTEQPQRT_CDS_0044  JQRBSOPY_CDS_0033  0.36      0.36      
DTEQPQRT_CDS_0046  JQRBSOPY_CDS_0034  0.68      0.70      
DTEQPQRT_CDS_0047  JQRBSOPY_CDS_0035  0.39      0.39      
DTEQPQRT_CDS_0049  JQRBSOPY_CDS_0014  0.31      0.33      
DTEQPQRT_CDS_0049  JQRBSOPY_CDS_0036  1.00      1.00      
DTEQPQRT_CDS_0050  JQRBSOPY_CDS_0037  0.52      0.57      
DTEQPQRT_CDS_0051  JQRBSOPY_CDS_0038  0.32      0.36      
DTEQPQRT_CDS_0055  JQRBSOPY_CDS_0040  0.52      0.52      
DTEQPQRT_CDS_0056  JQRBSOPY_CDS_0040  0.46      0.47      
DTEQPQRT_CDS_0057  JQRBSOPY_CDS_0041  1.00      1.00      
DTEQPQRT_CDS_0058  JQRBSOPY_CDS_0042  1.00      1.00      
DTEQPQRT_CDS_0060  JQRBSOPY_CDS_0043  0.74      0.74      
DTEQPQRT_CDS_0061  JQRBSOPY_CDS_0045  1.00      1.00      
DTEQPQRT_CDS_0062  JQRBSOPY_CDS_0046  0.44      0.44      
DTEQPQRT_CDS_0062  JQRBSOPY_CDS_0047  0.48      0.48      
DTEQPQRT_CDS_0066  JQRBSOPY_CDS_0049  0.39      0.41      
DTEQPQRT_CDS_0071  JQRBSOPY_CDS_0056  0.99      0.99      
DTEQPQRT_CDS_0072  JQRBSOPY_CDS_0057  1.00      1.00      
DTEQPQRT_CDS_0073  JQRBSOPY_CDS_0058  1.00      1.00      
DTEQPQRT_CDS_0074  JQRBSOPY_CDS_0059  1.00      1.00      
DTEQPQRT_CDS_0075  JQRBSOPY_CDS_0060  0.99      0.99      
DTEQPQRT_CDS_0076  JQRBSOPY_CDS_0061  1.00      1.00      
DTEQPQRT_CDS_0077  JQRBSOPY_CDS_0062  1.00      1.00      
DTEQPQRT_CDS_0078  JQRBSOPY_CDS_0063  1.00      1.00      
DTEQPQRT_CDS_0079  JQRBSOPY_CDS_0064  1.00      1.00      
DTEQPQRT_CDS_0080  JQRBSOPY_CDS_0065  0.87      0.87      
DTEQPQRT_CDS_0081  JQRBSOPY_CDS_0066  1.00      1.00      
DTEQPQRT_CDS_0082  JQRBSOPY_CDS_0067  1.00      1.00      
DTEQPQRT_CDS_0083  JQRBSOPY_CDS_0068  0.56      0.56      
DTEQPQRT_CDS_0085  JQRBSOPY_CDS_0069  0.57      0.57      
DTEQPQRT_CDS_0086  JQRBSOPY_CDS_0125  0.43      0.52      
DTEQPQRT_CDS_0087  JQRBSOPY_CDS_0126  0.69      0.71      
DTEQPQRT_CDS_0089  JQRBSOPY_CDS_0127  0.69      0.72      
DTEQPQRT_CDS_0090  JQRBSOPY_CDS_0071  1.00      1.00      
DTEQPQRT_CDS_0091  JQRBSOPY_CDS_0072  1.00      1.00      
DTEQPQRT_CDS_0092  JQRBSOPY_CDS_0073  0.97      0.99      
DTEQPQRT_CDS_0093  JQRBSOPY_CDS_0074  1.00      1.00      
DTEQPQRT_CDS_0094  JQRBSOPY_CDS_0075  1.00      1.00      
DTEQPQRT_CDS_0095  JQRBSOPY_CDS_0076  1.00      1.00      
DTEQPQRT_CDS_0096  JQRBSOPY_CDS_0077  0.53      0.54      
DTEQPQRT_CDS_0097  JQRBSOPY_CDS_0077  0.53      0.53      
DTEQPQRT_CDS_0098  JQRBSOPY_CDS_0078  0.97      0.98      
DTEQPQRT_CDS_0099  JQRBSOPY_CDS_0079  0.99      0.99      
DTEQPQRT_CDS_0100  JQRBSOPY_CDS_0080  1.00      1.00      
DTEQPQRT_CDS_0100  JQRBSOPY_CDS_0082  0.36      0.46      
DTEQPQRT_CDS_0101  JQRBSOPY_CDS_0081  1.00      1.00      
DTEQPQRT_CDS_0102  JQRBSOPY_CDS_0080  0.36      0.46      
DTEQPQRT_CDS_0102  JQRBSOPY_CDS_0082  1.00      1.00      
DTEQPQRT_CDS_0103  JQRBSOPY_CDS_0083  1.00      1.00      
DTEQPQRT_CDS_0104  JQRBSOPY_CDS_0084  1.00      1.00      
DTEQPQRT_CDS_0105  JQRBSOPY_CDS_0085  1.00      1.00      
DTEQPQRT_CDS_0106  JQRBSOPY_CDS_0086  1.00      1.00      
DTEQPQRT_CDS_0107  JQRBSOPY_CDS_0087  1.00      1.00      
DTEQPQRT_CDS_0108  JQRBSOPY_CDS_0088  1.00      1.00      
DTEQPQRT_CDS_0109  JQRBSOPY_CDS_0089  1.00      1.00      
DTEQPQRT_CDS_0110  JQRBSOPY_CDS_0090  1.00      1.00      
DTEQPQRT_CDS_0111  JQRBSOPY_CDS_0091  1.00      1.00      
DTEQPQRT_CDS_0112  JQRBSOPY_CDS_0092  1.00      1.00      
DTEQPQRT_CDS_0113  JQRBSOPY_CDS_0093  0.83      0.83      
DTEQPQRT_CDS_0114  JQRBSOPY_CDS_0127  0.39      0.39      
DTEQPQRT_CDS_0115  JQRBSOPY_CDS_0127  0.43      0.43      
DTEQPQRT_CDS_0117  JQRBSOPY_CDS_0094  1.00      1.00      
DTEQPQRT_CDS_0118  JQRBSOPY_CDS_0095  1.00      1.00      
DTEQPQRT_CDS_0119  JQRBSOPY_CDS_0096  1.00      1.00      
DTEQPQRT_CDS_0120  JQRBSOPY_CDS_0097  1.00      1.00      
DTEQPQRT_CDS_0121  JQRBSOPY_CDS_0098  1.00      1.00      
DTEQPQRT_CDS_0122  JQRBSOPY_CDS_0099  1.00      1.00      
DTEQPQRT_CDS_0123  JQRBSOPY_CDS_0100  1.00      1.00      
DTEQPQRT_CDS_0124  JQRBSOPY_CDS_0101  1.00      1.00      
DTEQPQRT_CDS_0125  JQRBSOPY_CDS_0102  1.00      1.00      
DTEQPQRT_CDS_0126  JQRBSOPY_CDS_0103  1.00      1.00      
DTEQPQRT_CDS_0127  JQRBSOPY_CDS_0104  1.00      1.00      
DTEQPQRT_CDS_0128  JQRBSOPY_CDS_0105  1.00      1.00      
DTEQPQRT_CDS_0129  JQRBSOPY_CDS_0106  1.00      1.00      
DTEQPQRT_CDS_0130  JQRBSOPY_CDS_0107  1.00      1.00      
DTEQPQRT_CDS_0131  JQRBSOPY_CDS_0108  1.00      1.00      
DTEQPQRT_CDS_0132  JQRBSOPY_CDS_0109  1.00      1.00      
DTEQPQRT_CDS_0133  JQRBSOPY_CDS_0110  1.00      1.00      
DTEQPQRT_CDS_0134  JQRBSOPY_CDS_0111  1.00      1.00      
DTEQPQRT_CDS_0135  JQRBSOPY_CDS_0112  1.00      1.00      
DTEQPQRT_CDS_0136  JQRBSOPY_CDS_0113  0.97      0.97      
DTEQPQRT_CDS_0137  JQRBSOPY_CDS_0114  1.00      1.00      
DTEQPQRT_CDS_0138  JQRBSOPY_CDS_0115  0.99      0.99      
DTEQPQRT_CDS_0139  JQRBSOPY_CDS_0116  0.66      0.66      
DTEQPQRT_CDS_0142  JQRBSOPY_CDS_0117  1.00      1.00      
DTEQPQRT_CDS_0143  JQRBSOPY_CDS_0118  1.00      1.00      
DTEQPQRT_CDS_0144  JQRBSOPY_CDS_0119  1.00      1.00      
DTEQPQRT_CDS_0146  JQRBSOPY_CDS_0120  0.67      0.67      
DTEQPQRT_CDS_0147  JQRBSOPY_CDS_0121  1.00      1.00      
DTEQPQRT_CDS_0148  JQRBSOPY_CDS_0122  1.00      1.00      
DTEQPQRT_CDS_0149  JQRBSOPY_CDS_0123  1.00      1.00      
DTEQPQRT_CDS_0150  JQRBSOPY_CDS_0124  0.90      0.90      

315176_ONT_clinker vs E30228_ONT_clinker
----------------------------------------
Query              Target             Identity  Similarity
DTEQPQRT_CDS_0020  TONGNFWS_CDS_0025  0.80      0.82      
DTEQPQRT_CDS_0021  TONGNFWS_CDS_0026  0.40      0.46      
DTEQPQRT_CDS_0022  TONGNFWS_CDS_0017  0.33      0.49      
DTEQPQRT_CDS_0031  TONGNFWS_CDS_0062  0.34      0.41      
DTEQPQRT_CDS_0077  TONGNFWS_CDS_0040  0.45      0.60      
DTEQPQRT_CDS_0079  TONGNFWS_CDS_0045  0.94      0.99      
DTEQPQRT_CDS_0080  TONGNFWS_CDS_0046  0.99      1.00      
DTEQPQRT_CDS_0081  TONGNFWS_CDS_0047  1.00      1.00      
DTEQPQRT_CDS_0082  TONGNFWS_CDS_0048  0.73      0.76      
DTEQPQRT_CDS_0083  TONGNFWS_CDS_0049  0.93      0.93      
DTEQPQRT_CDS_0085  TONGNFWS_CDS_0050  0.41      0.45      
DTEQPQRT_CDS_0092  TONGNFWS_CDS_0054  1.00      1.00      
DTEQPQRT_CDS_0093  TONGNFWS_CDS_0055  1.00      1.00      
DTEQPQRT_CDS_0098  TONGNFWS_CDS_0060  0.99      0.99      
DTEQPQRT_CDS_0099  TONGNFWS_CDS_0061  0.99      0.99      
DTEQPQRT_CDS_0100  TONGNFWS_CDS_0062  0.80      0.86      
DTEQPQRT_CDS_0102  TONGNFWS_CDS_0062  0.35      0.44      
DTEQPQRT_CDS_0104  TONGNFWS_CDS_0064  1.00      1.00      
DTEQPQRT_CDS_0105  TONGNFWS_CDS_0065  0.94      0.95      
DTEQPQRT_CDS_0106  TONGNFWS_CDS_0066  0.92      0.96      
DTEQPQRT_CDS_0107  TONGNFWS_CDS_0067  0.99      0.99      
DTEQPQRT_CDS_0112  TONGNFWS_CDS_0074  0.87      0.91      
DTEQPQRT_CDS_0128  TONGNFWS_CDS_0084  1.00      1.00      
DTEQPQRT_CDS_0129  TONGNFWS_CDS_0085  0.98      0.99      
DTEQPQRT_CDS_0130  TONGNFWS_CDS_0086  0.98      0.99      
DTEQPQRT_CDS_0131  TONGNFWS_CDS_0087  0.70      0.70      
DTEQPQRT_CDS_0132  TONGNFWS_CDS_0088  0.99      1.00      
DTEQPQRT_CDS_0133  TONGNFWS_CDS_0089  0.62      0.68      
DTEQPQRT_CDS_0134  TONGNFWS_CDS_0091  0.94      0.95      
DTEQPQRT_CDS_0135  TONGNFWS_CDS_0092  0.76      0.76      
DTEQPQRT_CDS_0136  TONGNFWS_CDS_0093  0.97      0.97      
DTEQPQRT_CDS_0137  TONGNFWS_CDS_0094  1.00      1.00      
DTEQPQRT_CDS_0138  TONGNFWS_CDS_0003  0.78      0.84      
DTEQPQRT_CDS_0138  TONGNFWS_CDS_0095  0.93      0.96      
DTEQPQRT_CDS_0139  TONGNFWS_CDS_0004  0.46      0.51      
DTEQPQRT_CDS_0139  TONGNFWS_CDS_0096  0.50      0.55      

E116508_phage_clinker vs E30228_ONT_clinker
-------------------------------------------
Query              Target             Identity  Similarity
JQRBSOPY_CDS_0015  TONGNFWS_CDS_0025  0.77      0.79      
JQRBSOPY_CDS_0016  TONGNFWS_CDS_0026  0.36      0.41      
JQRBSOPY_CDS_0019  TONGNFWS_CDS_0017  0.33      0.49      
JQRBSOPY_CDS_0062  TONGNFWS_CDS_0040  0.45      0.60      
JQRBSOPY_CDS_0064  TONGNFWS_CDS_0045  0.94      0.99      
JQRBSOPY_CDS_0065  TONGNFWS_CDS_0046  0.86      0.87      
JQRBSOPY_CDS_0066  TONGNFWS_CDS_0047  1.00      1.00      
JQRBSOPY_CDS_0067  TONGNFWS_CDS_0048  0.73      0.76      
JQRBSOPY_CDS_0068  TONGNFWS_CDS_0049  0.58      0.58      
JQRBSOPY_CDS_0069  TONGNFWS_CDS_0050  0.74      0.78      
JQRBSOPY_CDS_0073  TONGNFWS_CDS_0054  0.97      0.99      
JQRBSOPY_CDS_0074  TONGNFWS_CDS_0055  1.00      1.00      
JQRBSOPY_CDS_0078  TONGNFWS_CDS_0060  0.96      0.97      
JQRBSOPY_CDS_0079  TONGNFWS_CDS_0061  0.98      0.98      
JQRBSOPY_CDS_0080  TONGNFWS_CDS_0062  0.80      0.86      
JQRBSOPY_CDS_0082  TONGNFWS_CDS_0062  0.35      0.44      
JQRBSOPY_CDS_0084  TONGNFWS_CDS_0064  1.00      1.00      
JQRBSOPY_CDS_0085  TONGNFWS_CDS_0065  0.94      0.95      
JQRBSOPY_CDS_0086  TONGNFWS_CDS_0066  0.92      0.96      
JQRBSOPY_CDS_0087  TONGNFWS_CDS_0067  0.99      0.99      
JQRBSOPY_CDS_0092  TONGNFWS_CDS_0074  0.87      0.91      
JQRBSOPY_CDS_0105  TONGNFWS_CDS_0084  1.00      1.00      
JQRBSOPY_CDS_0106  TONGNFWS_CDS_0085  0.98      0.99      
JQRBSOPY_CDS_0107  TONGNFWS_CDS_0086  0.98      0.99      
JQRBSOPY_CDS_0108  TONGNFWS_CDS_0087  0.70      0.70      
JQRBSOPY_CDS_0109  TONGNFWS_CDS_0088  0.99      1.00      
JQRBSOPY_CDS_0110  TONGNFWS_CDS_0089  0.62      0.68      
JQRBSOPY_CDS_0111  TONGNFWS_CDS_0091  0.94      0.95      
JQRBSOPY_CDS_0112  TONGNFWS_CDS_0092  0.76      0.76      
JQRBSOPY_CDS_0113  TONGNFWS_CDS_0093  1.00      1.00      
JQRBSOPY_CDS_0114  TONGNFWS_CDS_0094  1.00      1.00      
JQRBSOPY_CDS_0115  TONGNFWS_CDS_0003  0.79      0.85      
JQRBSOPY_CDS_0115  TONGNFWS_CDS_0095  0.95      0.97      
JQRBSOPY_CDS_0116  TONGNFWS_CDS_0004  0.45      0.56      
JQRBSOPY_CDS_0116  TONGNFWS_CDS_0096  0.46      0.52      
